date;no_items;no_points
2024-01-05;5;32
2024-01-12;4;32
2024-01-19;7;44
2024-01-26;4;31
2024-02-02;10;72
2024-02-09;5;35
2024-02-16;10;30
2024-02-23;10;28
2024-03-01;6;21
2024-03-08;4;14
2024-03-15;10;34
2024-03-22;10;30
2024-03-29;14;43
2024-04-05;13;28
2024-04-12;8;37
2024-04-19;12;33
2024-04-26;14;56
2024-05-03;5;22
2024-05-10;6;26
2024-05-17;0;0
2024-05-24;6;44
2024-05-31;1;5
2024-06-07;5;22
2024-06-14;5;36
2024-06-21;3;18
2024-06-28;5;26
2024-07-05;6;30
2024-07-12;2;13
2024-07-19;10;63
2024-07-26;6;30
2024-08-02;2;16
2024-08-09;8;44
2024-08-16;3;5
2024-08-23;7;40
2024-08-30;7;41
2024-09-06;4;24
2024-09-13;8;24
2024-09-20;5;35
2024-09-27;3;24
2024-10-04;11;40
2024-10-11;13;9
2024-10-18;6;18
2024-10-25;8;59
2024-11-01;3;13
2024-11-08;13;41
2024-11-15;10;24
2024-11-22;3;6
2024-11-29;12;48
2024-12-06;6;40
2024-12-13;11;35
2024-12-20;7;35
2024-12-27;0;0
2025-01-03;0;0
2025-01-10;9;24
2025-01-17;31;8
2025-01-24;17;36
2025-01-31;5;19
2025-02-07;13;30
2025-02-14;13;37
2025-02-21;13;32
2025-02-28;9;23
2025-03-07;10;22
